employee_id,age,gender,department,job_role,education,years_experience,monthly_salary,training_hours,attendance_percent,projects_completed,overtime_hours,satisfaction_score,work_life_balance,manager_rating,last_promotion_years,remote_days_per_month,skill_score,performance_score,performance_label,attrition_risk
EMP0033,54,Female,Finance,Accountant,MBA,32,139334,33.0,92.0,10,7,8.0,8,3.4,1,8,89,98.0,High Performer,5.0
EMP0034,28,Other,Sales,Business Associate,Postgraduate,3,85534,48.0,88.5,7,0,4.0,6,2.7,4,13,55,68.9,Average Performer,5.0
EMP0035,57,Male,Support,Customer Support,Postgraduate,35,132413,14.0,82.3,10,9,8.0,7,2.3,3,3,98,91.3,High Performer,5.0
EMP0036,38,Female,Support,Customer Support,Graduate,12,86456,21.0,91.4,4,18,5.0,4,,3,3,92,68.6,Average Performer,6.9
EMP0037,46,Male,Finance,Financial Analyst,Graduate,22,141351,21.0,75.5,13,36,6.0,3,3.3,2,5,67,74.5,Average Performer,12.5
EMP0038,37,Female,Marketing,SEO Analyst,Diploma,11,88452,32.0,93.7,3,15,6.0,9,3.4,6,1,81,74.0,Average Performer,5.0
EMP0039,34,Male,Marketing,Marketing Manager,Diploma,11,81670,29.0,89.5,3,0,7.0,5,,4,7,66,67.4,Average Performer,5.0
EMP0040,34,Male,Engineering,Data Analyst,Graduate,8,99652,31.0,94.9,8,25,6.0,6,3.2,4,11,67,70.4,Average Performer,9.1
EMP0041,23,Female,HR,HR Executive,Graduate,0,30155,22.0,84.5,5,24,6.0,5,3.5,4,2,57,60.3,Average Performer,7.8
EMP0042,27,Male,HR,HR Manager,Graduate,7,75354,31.0,82.7,3,20,,5,3.4,5,0,54,55.2,Average Performer,10.2
EMP0043,55,Male,Sales,Sales Executive,Postgraduate,32,142699,40.0,88.9,11,15,8.0,8,2.4,0,10,98,94.6,High Performer,5.0
EMP0044,32,Female,Engineering,Software Engineer,Postgraduate,6,85539,23.0,90.1,6,4,10.0,9,4.3,1,9,79,97.2,High Performer,5.0
EMP0045,33,Female,HR,Recruiter,Graduate,7,76503,27.0,82.3,11,29,,7,4.4,3,6,59,80.6,High Performer,8.6
EMP0046,31,Other,Support,Customer Support,Graduate,11,88230,34.0,91.5,7,12,5.0,6,3.0,0,8,79,65.6,Average Performer,5.0
EMP0047,30,Male,Finance,Financial Analyst,Graduate,4,66995,38.0,92.3,9,23,,4,3.3,3,5,63,73.0,Average Performer,6.8
EMP0048,49,Male,Engineering,Team Lead,Graduate,22,133278,20.0,87.1,12,3,3.0,3,3.5,3,5,95,77.0,High Performer,5.0
EMP0049,25,Male,Finance,Accountant,MBA,0,66084,51.0,100.0,5,31,,9,3.4,3,7,98,79.2,High Performer,8.3
EMP0050,42,Female,Marketing,Marketing Manager,Postgraduate,15,102873,37.0,90.1,9,17,3.0,7,2.8,0,5,78,69.1,Average Performer,8.9
EMP0051,40,Female,Engineering,Data Analyst,Graduate,20,112905,42.0,90.4,4,0,6.0,6,3.4,2,6,91,87.3,High Performer,5.0
EMP0052,36,Male,Engineering,Data Analyst,Graduate,15,82479,13.0,85.0,6,10,7.0,6,4.2,1,2,82,77.7,High Performer,5.0
EMP0053,49,Female,Operations,Operations Associate,Diploma,29,129794,18.0,90.4,7,7,7.0,7,3.1,4,10,98,95.2,High Performer,5.9
EMP0054,32,Male,Sales,Sales Executive,Diploma,11,82642,32.0,100.0,7,17,6.0,6,3.5,3,10,94,84.4,High Performer,7.3
EMP0055,31,Male,Engineering,Software Engineer,Graduate,5,98136,39.0,97.2,7,10,7.0,1,3.8,0,0,76,85.9,High Performer,5.0
EMP0056,55,Male,Engineering,Software Engineer,MBA,33,157476,38.0,99.7,11,4,6.0,6,2.5,2,3,98,98.0,High Performer,5.0
EMP0057,36,Male,Marketing,Content Strategist,Graduate,15,115756,29.0,81.5,9,18,4.0,7,4.0,3,8,60,73.9,Average Performer,6.5
EMP0058,28,Female,Marketing,Marketing Manager,Diploma,6,95777,32.0,92.1,8,15,7.0,8,3.5,1,4,79,80.8,High Performer,5.9
EMP0059,45,Female,Marketing,SEO Analyst,Graduate,20,132307,27.0,80.1,6,4,7.0,6,3.3,4,7,83,88.9,High Performer,5.0
EMP0060,49,Female,Marketing,Content Strategist,Postgraduate,22,119944,46.0,97.1,9,9,7.0,5,3.5,4,3,90,98.0,High Performer,5.0
EMP0061,39,Female,Finance,Finance Manager,Graduate,16,103548,40.0,84.3,9,2,6.0,6,5.0,0,11,79,98.0,High Performer,5.0
EMP0062,35,Male,Finance,Accountant,Graduate,12,113586,26.0,89.6,5,18,9.0,6,3.4,0,5,56,72.7,Average Performer,5.8
EMP0063,44,Female,HR,Recruiter,Diploma,17,98685,39.0,90.4,8,10,4.0,4,,2,3,78,85.5,High Performer,5.3
EMP0064,22,Female,Support,Support Lead,Postgraduate,0,55934,45.0,97.5,8,19,8.0,7,2.7,4,0,58,79.6,High Performer,7.8
EMP0065,50,Female,Operations,Operations Manager,MBA,29,133447,47.0,87.8,11,5,7.0,6,3.0,2,5,82,98.0,High Performer,5.0
EMP0066,24,Male,Engineering,Data Analyst,MBA,0,66769,,89.0,9,14,7.0,6,3.5,6,0,43,73.4,Average Performer,5.4
EMP0067,25,Male,Engineering,Team Lead,Graduate,3,84708,45.0,91.6,5,20,7.0,6,4.5,0,0,55,74.2,Average Performer,6.1
EMP0068,22,Male,Operations,Operations Associate,Postgraduate,0,81620,29.0,87.8,3,0,6.0,5,3.4,0,2,69,74.0,Average Performer,5.0
EMP0069,42,Female,Sales,Business Associate,Graduate,17,87983,30.0,92.2,10,12,9.0,8,3.3,4,13,98,92.2,High Performer,5.0
EMP0070,54,Female,Engineering,QA Engineer,Graduate,34,165042,32.0,86.1,9,7,5.0,10,3.7,4,4,86,93.5,High Performer,5.0
EMP0071,26,Male,Engineering,Software Engineer,Graduate,3,81966,49.0,92.5,8,5,7.0,8,3.1,4,8,63,79.9,High Performer,5.0
EMP0072,32,Female,HR,Recruiter,Graduate,5,60989,34.0,93.4,8,27,9.0,5,4.7,2,10,71,79.6,High Performer,5.0
EMP0073,33,Male,Sales,Account Manager,Postgraduate,11,93123,25.0,86.2,9,13,10.0,5,4.2,3,9,69,91.4,High Performer,5.0
EMP0074,56,Male,Operations,Process Analyst,Postgraduate,29,150943,51.0,87.8,11,8,7.0,5,,3,5,98,98.0,High Performer,5.0
EMP0075,22,Male,HR,Recruiter,Graduate,0,82042,43.0,91.0,4,10,3.0,7,4.1,0,3,54,58.2,Average Performer,5.4
EMP0076,26,Male,Sales,Account Manager,MBA,6,73986,5.0,84.0,9,0,6.0,4,4.1,1,7,78,91.7,High Performer,5.0
EMP0077,38,Male,Finance,Accountant,Graduate,15,107233,15.0,91.4,10,16,4.0,6,4.0,0,1,87,82.2,High Performer,7.4
EMP0078,30,Male,Support,Support Lead,Postgraduate,10,72434,24.0,92.6,8,9,5.0,10,,1,9,72,75.7,High Performer,5.4
EMP0079,26,Female,Operations,Operations Manager,MBA,4,65485,27.0,87.5,5,10,8.0,3,4.1,2,7,56,81.1,High Performer,6.0
EMP0080,41,Male,Marketing,SEO Analyst,Diploma,15,83236,33.0,92.2,9,15,7.0,9,4.4,0,4,75,80.3,High Performer,5.4
EMP0081,24,Male,Engineering,QA Engineer,Graduate,0,92728,27.0,92.8,1,30,8.0,6,3.9,0,10,64,61.6,Average Performer,8.1
EMP0082,27,Male,Engineering,Team Lead,Diploma,3,82394,40.0,87.5,12,0,9.0,9,2.9,7,9,81,97.1,High Performer,5.0
EMP0083,28,Male,Finance,Accountant,Postgraduate,4,89893,45.0,93.9,8,11,5.0,5,2.4,3,5,65,58.9,Average Performer,5.0
EMP0084,55,Male,HR,HR Executive,Graduate,32,155264,32.0,91.7,16,27,6.0,5,,3,5,82,98.0,High Performer,8.7
EMP0085,44,Male,Operations,Operations Manager,Postgraduate,22,106304,23.0,92.8,11,14,4.0,4,2.5,0,6,94,81.0,High Performer,5.0
EMP0086,48,Male,Support,Service Associate,Graduate,26,110311,54.0,92.7,11,15,7.0,8,2.9,4,0,87,96.6,High Performer,5.0
EMP0087,41,Male,Engineering,QA Engineer,Graduate,15,116373,20.0,94.3,5,8,5.0,9,3.7,2,7,51,74.9,Average Performer,8.0
EMP0088,35,Female,Sales,Account Manager,Graduate,14,73030,13.0,91.3,6,25,6.0,3,2.6,0,5,74,62.0,Average Performer,10.6
EMP0089,22,Female,Engineering,QA Engineer,Postgraduate,0,78712,45.0,83.0,11,5,8.0,3,2.8,5,4,78,89.1,High Performer,5.0
EMP0090,44,Male,Marketing,Content Strategist,Graduate,17,114114,38.0,80.6,6,8,6.0,4,3.1,1,9,87,81.3,High Performer,5.0
EMP0091,46,Female,Engineering,Data Analyst,Graduate,19,108538,35.0,94.4,4,14,6.0,7,3.5,0,0,79,87.3,High Performer,5.0
EMP0092,29,Male,Engineering,Team Lead,Postgraduate,8,86563,32.0,80.3,1,22,5.0,6,2.5,0,5,64,57.6,Average Performer,8.8
EMP0093,55,Male,HR,HR Executive,Postgraduate,35,159092,49.0,81.5,10,26,7.0,7,3.3,2,7,85,90.9,High Performer,8.5
EMP0094,40,Male,Support,Customer Support,Graduate,17,96388,24.0,93.5,8,20,9.0,7,4.3,0,12,82,94.2,High Performer,5.0
EMP0095,49,Male,Marketing,Content Strategist,MBA,25,106317,45.0,90.0,9,0,7.0,2,4.0,0,6,81,98.0,High Performer,5.0
EMP0096,56,Male,Operations,Operations Associate,Graduate,29,127872,31.0,80.6,11,0,8.0,7,5.0,1,5,98,98.0,High Performer,5.0
EMP0097,53,Female,HR,Recruiter,MBA,33,121323,35.0,92.7,10,0,8.0,7,3.0,2,0,75,98.0,High Performer,5.0
EMP0098,38,Female,Engineering,Data Analyst,MBA,16,113303,44.0,86.8,4,1,6.0,4,3.8,2,15,56,84.7,High Performer,5.0
EMP0099,44,Male,Marketing,SEO Analyst,Postgraduate,22,114558,37.0,96.1,8,8,2.0,7,3.4,1,6,74,76.9,High Performer,6.3
EMP0100,26,Female,Engineering,QA Engineer,Graduate,6,113075,47.0,90.6,4,9,7.0,6,3.4,2,5,54,75.2,High Performer,5.4
EMP0101,28,Female,HR,HR Executive,Graduate,5,88228,40.0,82.1,8,7,5.0,7,3.2,4,2,63,70.2,Average Performer,5.0
EMP0102,34,Male,Sales,Account Manager,Postgraduate,10,74631,34.0,82.9,5,8,5.0,5,3.4,0,9,62,85.8,High Performer,5.0
EMP0103,39,Male,Operations,Operations Manager,Postgraduate,15,81338,36.0,83.3,11,21,7.0,2,2.8,4,10,90,72.9,Average Performer,7.7
EMP0104,27,Female,Engineering,Data Analyst,Graduate,7,88890,11.0,88.0,6,12,5.0,6,3.5,3,4,67,70.4,Average Performer,5.0
EMP0105,40,Other,Support,Support Lead,MBA,19,73813,37.0,90.0,9,9,8.0,8,3.8,2,0,88,98.0,High Performer,5.0
EMP0106,30,Other,Operations,Operations Manager,Graduate,8,69486,31.0,94.5,7,3,7.0,7,3.6,3,4,90,84.3,High Performer,5.0
EMP0107,28,Female,Engineering,Data Analyst,Graduate,4,85392,20.0,87.7,8,8,7.0,6,4.0,3,3,68,87.6,High Performer,5.0
EMP0108,30,Female,Marketing,Marketing Manager,Graduate,7,94789,37.0,90.9,6,20,6.0,7,4.1,1,3,57,66.5,Average Performer,5.0
EMP0109,39,Female,Sales,Account Manager,Graduate,13,111565,28.0,90.6,2,16,5.0,7,2.4,3,10,66,56.5,Average Performer,5.0
EMP0110,53,Female,Engineering,Data Analyst,Graduate,32,149600,21.0,86.7,13,19,6.0,7,2.7,3,6,81,93.2,High Performer,5.2
EMP0111,24,Male,Finance,Finance Manager,Postgraduate,4,72607,46.0,88.1,2,4,8.0,3,4.3,2,1,63,76.1,High Performer,5.0
EMP0112,35,Male,Engineering,Team Lead,Postgraduate,14,125522,17.0,99.6,8,3,5.0,5,2.6,3,1,50,75.8,High Performer,5.0
EMP0113,34,Male,Marketing,Marketing Manager,Postgraduate,12,97944,12.0,86.1,8,4,8.0,4,3.3,1,6,67,82.1,High Performer,5.0
EMP0114,26,Female,Marketing,SEO Analyst,Graduate,6,74834,43.0,88.6,6,14,10.0,4,4.0,0,6,90,93.6,High Performer,5.0
EMP0115,35,Female,Operations,Operations Associate,Postgraduate,9,84880,24.0,85.2,3,17,7.0,7,4.2,3,7,77,72.0,Average Performer,5.0
EMP0116,48,Male,Support,Service Associate,Graduate,28,123022,17.0,96.7,9,4,9.0,7,2.6,6,8,84,98.0,High Performer,5.0
EMP0117,25,Male,Finance,Financial Analyst,Diploma,1,63020,35.0,89.6,2,0,,2,3.6,2,11,62,80.2,High Performer,5.0
EMP0118,42,Female,Sales,Business Associate,Postgraduate,21,102575,37.0,95.5,10,31,5.0,4,2.8,4,7,81,69.5,Average Performer,12.1
EMP0119,26,Female,HR,Recruiter,Postgraduate,0,64997,28.0,79.1,4,4,4.0,9,3.7,3,4,65,69.1,Average Performer,5.0
EMP0120,43,Female,Support,Customer Support,Graduate,21,78767,30.0,90.3,5,13,7.0,3,2.9,3,7,66,76.0,High Performer,6.7
EMP0121,40,Male,Support,Customer Support,Graduate,14,87341,41.0,90.8,10,14,8.0,8,2.9,0,12,79,79.1,High Performer,5.0
EMP0122,46,Male,Engineering,QA Engineer,MBA,20,112432,24.0,91.3,9,18,8.0,7,3.8,2,6,81,92.8,High Performer,7.3
EMP0123,40,Male,Sales,Account Manager,Graduate,20,114318,60.0,86.9,10,23,7.0,10,3.2,3,2,75,89.0,High Performer,9.2
EMP0124,32,Male,Operations,Process Analyst,Graduate,8,112447,38.0,85.7,5,5,8.0,6,3.6,2,8,62,76.0,High Performer,5.0
EMP0125,33,Female,Engineering,Data Analyst,Postgraduate,13,101241,22.0,97.8,9,19,9.0,10,2.3,1,3,65,77.2,High Performer,5.1
EMP0126,41,Male,Engineering,QA Engineer,Graduate,14,116092,41.0,87.8,13,16,3.0,5,2.3,3,5,70,86.9,High Performer,8.0
EMP0127,24,Female,Sales,Account Manager,Graduate,1,42224,31.0,90.1,5,6,6.0,6,3.6,4,10,65,71.4,Average Performer,5.0
EMP0128,47,Other,Engineering,Data Analyst,Postgraduate,24,150500,55.0,84.8,9,14,6.0,5,2.5,3,2,83,85.8,High Performer,5.0
EMP0129,42,Male,Engineering,Software Engineer,MBA,17,123320,21.0,82.3,12,5,5.0,6,3.4,1,4,92,88.0,High Performer,5.0
EMP0130,43,Male,Sales,Sales Executive,Graduate,21,105564,33.0,97.0,6,13,8.0,2,4.2,0,7,83,96.5,High Performer,5.4
EMP0131,24,Female,Support,Support Lead,Graduate,1,61972,41.0,88.7,1,9,7.0,4,3.9,4,6,35,56.8,Average Performer,7.5
EMP0132,37,Female,Finance,Accountant,Postgraduate,14,118259,37.0,92.8,9,20,10.0,8,2.4,3,10,90,88.9,High Performer,7.9
EMP0133,53,Female,Engineering,Team Lead,Graduate,28,139117,23.0,73.4,9,17,6.0,10,3.5,5,7,94,88.5,High Performer,9.1
EMP0134,26,Female,Support,Support Lead,Postgraduate,1,57359,60.0,88.4,7,25,9.0,6,1.8,3,0,86,75.2,High Performer,9.3
EMP0135,30,Female,Operations,Operations Associate,Graduate,7,78515,67.0,95.0,9,21,9.0,6,2.1,2,9,60,80.5,High Performer,5.0
EMP0136,36,Male,Engineering,Software Engineer,Postgraduate,12,104553,36.0,82.9,2,15,7.0,8,4.6,5,2,70,80.0,High Performer,10.6
EMP0137,30,Male,Engineering,Data Analyst,Graduate,3,69292,31.0,89.3,10,10,2.0,7,3.0,3,5,66,72.9,Average Performer,5.0
EMP0138,55,Male,Sales,Business Associate,Diploma,30,145022,47.0,89.7,5,20,4.0,7,2.9,0,4,83,74.4,Average Performer,8.9
EMP0139,47,Male,Marketing,Content Strategist,MBA,26,136911,23.0,80.1,10,10,2.0,5,2.9,5,0,66,78.1,High Performer,8.6
EMP0140,32,Male,Finance,Accountant,Graduate,10,72665,30.0,99.3,6,14,9.0,10,3.1,2,13,55,86.7,High Performer,5.0
EMP0141,49,Male,Sales,Account Manager,Graduate,23,107702,37.0,96.0,9,14,8.0,5,4.0,4,16,77,94.2,High Performer,6.3
EMP0142,47,Male,Operations,Operations Manager,Graduate,25,112568,29.0,90.5,12,8,3.0,3,2.6,0,5,68,76.0,High Performer,5.0
EMP0143,42,Male,Engineering,Data Analyst,Postgraduate,16,109801,37.0,93.5,6,14,3.0,7,4.0,2,13,67,76.7,High Performer,6.3
EMP0144,51,Female,Engineering,Data Analyst,Postgraduate,27,159032,33.0,94.9,8,20,5.0,8,5.0,2,0,77,96.7,High Performer,8.5
EMP0145,38,Male,Sales,Sales Executive,Postgraduate,12,110260,38.0,95.4,7,8,10.0,7,4.1,3,3,75,98.0,High Performer,5.0
EMP0146,31,Female,Marketing,SEO Analyst,MBA,6,86522,31.0,79.2,11,20,6.0,6,4.3,2,10,78,80.7,High Performer,7.3
EMP0147,26,Female,Marketing,Marketing Manager,Diploma,0,72373,41.0,92.9,7,11,8.0,6,3.2,2,14,47,78.3,High Performer,5.0
EMP0148,55,Male,Support,Customer Support,Postgraduate,29,117939,8.0,95.0,13,27,7.0,6,4.4,6,10,74,88.1,High Performer,9.8
EMP0149,32,Male,Sales,Sales Executive,Graduate,7,81694,33.0,92.3,5,5,9.0,9,2.8,4,5,76,87.2,High Performer,5.0
EMP0150,34,Male,Support,Customer Support,MBA,9,62500,59.0,92.8,9,0,5.0,8,3.7,0,10,66,95.0,High Performer,5.0
EMP0151,30,Male,Sales,Business Associate,MBA,9,94426,18.0,80.0,9,8,6.0,3,3.0,2,9,64,81.7,High Performer,5.0
EMP0152,42,Male,Operations,Process Analyst,Graduate,16,98138,50.0,98.8,6,13,7.0,5,3.5,3,10,92,88.3,High Performer,5.0
EMP0153,46,Male,Operations,Operations Manager,Graduate,21,101017,51.0,89.1,13,9,7.0,10,2.8,0,11,70,95.1,High Performer,5.0
EMP0154,37,Male,Engineering,QA Engineer,Postgraduate,13,95400,25.0,87.9,4,10,7.0,6,3.3,2,3,84,88.5,High Performer,5.0
EMP0155,28,Male,HR,HR Manager,Postgraduate,8,56719,39.0,97.4,6,22,5.0,4,3.6,0,5,88,63.3,Average Performer,5.4
EMP0156,42,Male,Engineering,QA Engineer,MBA,15,123952,39.0,90.9,9,6,8.0,4,4.1,5,6,74,98.0,High Performer,5.0
EMP0157,50,Male,Engineering,Data Analyst,Graduate,29,133817,32.0,90.4,10,15,8.0,4,3.6,5,0,87,95.9,High Performer,5.0
EMP0158,38,Female,Support,Support Lead,MBA,15,73464,18.0,100.0,7,13,6.0,5,3.3,7,11,66,77.1,High Performer,5.0
EMP0159,33,Female,Sales,Business Associate,Graduate,9,82498,42.0,92.3,6,0,7.0,8,2.7,4,7,82,91.4,High Performer,5.0
EMP0160,55,Female,Support,Support Lead,Postgraduate,30,116671,12.0,100.0,12,20,8.0,7,3.3,2,4,98,98.0,High Performer,5.4
EMP0161,37,Male,HR,Recruiter,Graduate,11,98291,38.0,90.6,7,13,,6,4.5,2,2,68,84.7,High Performer,6.7
EMP0162,46,Female,HR,HR Executive,Graduate,22,109884,45.0,95.2,6,6,,9,2.2,3,0,73,84.2,High Performer,5.0
EMP0163,22,Male,Finance,Accountant,Graduate,2,84034,44.0,80.8,7,20,5.0,6,3.4,6,13,49,75.1,High Performer,5.9
EMP0164,36,Female,Support,Customer Support,Postgraduate,15,86209,40.0,91.4,11,14,6.0,8,3.9,4,3,64,82.2,High Performer,5.0
EMP0165,38,Male,Marketing,SEO Analyst,Graduate,16,107920,24.0,99.5,8,15,6.0,5,2.5,4,2,98,77.5,High Performer,5.0
EMP0166,54,Male,Engineering,Software Engineer,MBA,30,127877,,83.6,5,15,2.0,4,,1,7,89,77.7,High Performer,8.5
EMP0167,53,Female,Support,Service Associate,MBA,26,110233,30.0,85.1,10,13,5.0,5,2.7,4,6,73,84.4,High Performer,5.0
EMP0168,57,Male,Finance,Financial Analyst,Postgraduate,35,157994,47.0,90.1,8,18,6.0,10,3.5,0,7,98,98.0,High Performer,10.1
EMP0169,24,Male,Sales,Business Associate,Graduate,0,54266,25.0,95.4,8,16,4.0,6,3.0,4,10,80,63.8,Average Performer,5.0
EMP0170,24,Male,Operations,Process Analyst,MBA,4,89711,49.0,90.1,5,12,7.0,9,3.8,4,10,56,79.5,High Performer,5.0
EMP0171,39,Female,Operations,Process Analyst,Graduate,19,109712,57.0,82.4,8,16,5.0,6,2.4,5,3,98,81.1,High Performer,8.5
EMP0172,54,Male,Marketing,Content Strategist,Diploma,31,146315,24.0,89.2,9,34,6.0,9,,3,0,81,79.4,High Performer,14.1
EMP0173,43,Male,Sales,Sales Executive,Graduate,17,133182,28.0,85.4,5,34,8.0,6,4.4,4,13,59,69.7,Average Performer,9.4
EMP0174,25,Female,Marketing,Content Strategist,Graduate,1,95817,29.0,87.5,6,22,5.0,5,4.2,3,0,53,70.4,Average Performer,8.7
EMP0175,36,Male,Engineering,Data Analyst,Graduate,12,88700,23.0,91.6,7,19,4.0,7,4.3,3,6,74,70.3,Average Performer,7.3
EMP0176,39,Male,HR,HR Executive,Graduate,14,95410,29.0,92.9,9,22,9.0,8,2.8,1,5,70,76.0,High Performer,5.6
EMP0177,25,Male,Support,Service Associate,Postgraduate,0,79661,36.0,88.3,6,16,7.0,10,2.9,4,6,49,68.4,Average Performer,8.2
EMP0178,34,Female,Engineering,Software Engineer,Postgraduate,14,122576,28.0,83.3,8,9,6.0,8,2.7,1,6,88,89.5,High Performer,5.0
EMP0179,28,Other,Engineering,Software Engineer,Postgraduate,4,77122,58.0,93.5,4,9,8.0,8,3.5,3,9,71,79.1,High Performer,5.0
EMP0180,57,Male,Engineering,Software Engineer,Postgraduate,35,165947,42.0,86.0,10,6,4.0,7,3.6,4,8,91,98.0,High Performer,5.0
EMP0181,55,Female,Support,Support Lead,Diploma,30,125621,26.0,86.8,7,25,8.0,7,4.9,2,18,83,90.6,High Performer,6.9
EMP0182,41,Male,Sales,Business Associate,Postgraduate,15,102369,37.0,84.5,9,12,5.0,5,5.0,2,0,68,85.4,High Performer,6.2
EMP0183,34,Male,Sales,Sales Executive,MBA,9,77064,22.0,82.9,10,20,8.0,6,4.0,0,9,75,85.5,High Performer,7.1
EMP0184,25,Male,Operations,Operations Associate,Graduate,5,80781,17.0,84.1,4,10,4.0,4,2.9,3,1,69,64.7,Average Performer,5.0
EMP0185,47,Male,Marketing,Marketing Manager,MBA,23,118825,47.0,92.6,8,18,7.0,8,3.1,3,5,90,85.4,High Performer,8.1
EMP0186,44,Male,Sales,Account Manager,Postgraduate,19,121522,51.0,90.5,4,0,7.0,5,2.9,2,8,61,84.3,High Performer,5.0
EMP0187,55,Male,Engineering,Software Engineer,Postgraduate,29,156395,44.0,83.1,13,6,7.0,7,3.8,3,2,69,98.0,High Performer,5.0
EMP0188,53,Male,Operations,Operations Manager,Graduate,29,128055,38.0,86.1,14,6,6.0,6,2.7,3,12,79,98.0,High Performer,5.0
